"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"47349.843273";"Altitude (GPS)";"199.222849778621";"feet";"42.5093815234668";"-71.4192600128783";
"47350.975273";"Average speed (GPS)";"0.0553693124014216";"mph";"42.5093806755692";"-71.4192587511062";
"47350.975273";"Speed (GPS)";"0.055648067637818";"mph";"42.5093806755692";"-71.4192587511062";
"47350.976273";"Altitude (GPS)";"201.256961112986";"feet";"42.5093806755692";"-71.4192587511062";
"47351.990273";"Altitude (GPS)";"201.261264755352";"feet";"42.5093807562861";"-71.4192587034175";
"47351.990273";"Average speed (GPS)";"0.0395532124687631";"mph";"42.5093807562861";"-71.4192587034175";
"47351.990273";"Speed (GPS)";"0";"mph";"42.5093807562861";"-71.4192587034175";
"47353.045273";"Altitude (GPS)";"201.230193327742";"feet";"42.5093809882978";"-71.4192537408016";
"47353.980273";"Altitude (GPS)";"200.74696523096";"feet";"42.5093799582776";"-71.4192532686686";
"47353.980273";"Average speed (GPS)";"0.0993509712856483";"mph";"42.5093799582776";"-71.4192532686686";
"47353.980273";"Speed (GPS)";"0.206130805568583";"mph";"42.5093799582776";"-71.4192532686686";
"47355.020273";"Altitude (GPS)";"200.613466249713";"feet";"42.5093802458392";"-71.4192533655042";
"47355.020273";"Average speed (GPS)";"0.088339185741317";"mph";"42.5093802458392";"-71.4192533655042";
"47355.020273";"Speed (GPS)";"0.0296315933080542";"mph";"42.5093802458392";"-71.4192533655042";
"47355.963273";"Altitude (GPS)";"200.728921326049";"feet";"42.509378220243";"-71.4192548227411";
"47355.963273";"Average speed (GPS)";"0.0935380059199441";"mph";"42.509378220243";"-71.4192548227411";
"47355.963273";"Speed (GPS)";"0.129843762801551";"mph";"42.509378220243";"-71.4192548227411";
"47356.248273";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"42.509378220243";"-71.4192548227411";
"47356.248273";"Throttle position";"0";"%";"42.509378220243";"-71.4192548227411";
"47356.520273";"Calculated instant fuel rate";"0.263211962713145";"gal./h";"42.509378220243";"-71.4192548227411";
"47356.520273";"Instant engine power (based on fuel consumption)";"3.8979796820504";"hp";"42.509378220243";"-71.4192548227411";
"47356.520273";"MAF air flow rate";"2.97";"g/sec";"42.509378220243";"-71.4192548227411";
"47356.520273";"Power from MAF";"3.564";"hp";"42.509378220243";"-71.4192548227411";
"47356.789273";"Vehicle speed";"0";"mph";"42.509378220243";"-71.4192548227411";
"47357.053273";"Engine RPM";"829";"rpm";"42.509378220243";"-71.4192548227411";
"47357.053273";"Engine RPM x1000";"0.8";"rpm";"42.509378220243";"-71.4192548227411";
"47357.055273";"Altitude (GPS)";"200.799208166617";"feet";"42.5093782659409";"-71.4192546007337";
"47357.055273";"Average speed (GPS)";"0.081689135245623";"mph";"42.5093782659409";"-71.4192546007337";
"47357.055273";"Speed (GPS)";"0";"mph";"42.5093782659409";"-71.4192546007337";
"47357.599273";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"42.5093782659409";"-71.4192546007337";
"47357.599273";"Throttle position";"0";"%";"42.5093782659409";"-71.4192546007337";
"47357.873273";"Calculated boost";"-0.727585725095519";"bar";"42.5093782659409";"-71.4192546007337";
"47357.873273";"Calculated instant fuel rate";"0.249918429242784";"gal./h";"42.5093782659409";"-71.4192546007337";
"47357.873273";"Fuel used";"9.37341796247805E-05";"gallon";"42.5093782659409";"-71.4192546007337";
"47357.873273";"Fuel used (total)";"0.00242000742300819";"gallon";"42.5093782659409";"-71.4192546007337";
"47357.873273";"Fuel used price";"0.000358373888959423";"$";"42.5093782659409";"-71.4192546007337";
"47357.873273";"Fuel used price (total)";"0.01";"$";"42.5093782659409";"-71.4192546007337";
"47357.873273";"Instant engine power (based on fuel consumption)";"3.70111202134079";"hp";"42.5093782659409";"-71.4192546007337";
"47357.873273";"MAF air flow rate";"2.82";"g/sec";"42.5093782659409";"-71.4192546007337";
"47357.873273";"Power from MAF";"3.384";"hp";"42.5093782659409";"-71.4192546007337";
"47358.156273";"Intake air temperature";"87.8";"℉";"0";"0";
"47358.166273";"Intake air temperature";"87.8";"℉";"42.5093782659409";"-71.4192546007337";
"47358.409273";"Distance travelled";"0";"miles";"42.5093782659409";"-71.4192546007337";
"47358.409273";"Distance travelled (total)";"0";"miles";"42.5093782659409";"-71.4192546007337";
"47358.409273";"Vehicle speed";"0";"mph";"42.5093782659409";"-71.4192546007337";
"47358.645273";"Engine RPM";"842";"rpm";"42.5093782659409";"-71.4192546007337";
"47358.645273";"Engine RPM x1000";"0.8";"rpm";"42.5093782659409";"-71.4192546007337";
"47359.006273";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"42.5093782659409";"-71.4192546007337";
"47359.006273";"Throttle position";"0";"%";"42.5093782659409";"-71.4192546007337";
"47359.187273";"Calculated boost";"-0.69450594374129";"bar";"42.5093782659409";"-71.4192546007337";
"47359.187273";"Calculated instant fuel rate";"0.254349607066238";"gal./h";"42.5093782659409";"-71.4192546007337";
"47359.187273";"Fuel used";"0.000186616526653104";"gallon";"42.5093782659409";"-71.4192546007337";
"47359.187273";"Fuel used (total)";"0.00251288977003652";"gallon";"42.5093782659409";"-71.4192546007337";
"47359.187273";"Fuel used price";"0.000713490966352813";"$";"42.5093782659409";"-71.4192546007337";
